"「020」番号帯利用について教えてください。",ContractBilling
"「070」で始まる電話番号は、何の電話番号ですか?",ContractBilling
"「ご契約内容確認のお願い」について教えてください。",ContractBilling
"「よくあるごQuestion(FAQ)」の使い方を教えてください。",ContractBilling
"「解約後のお知らせ」について教えてください。",ContractBilling
"CGMコンテンツ提供会社の指定する年齢に達していて、年齢認証をしたのに、コンテンツに制限がかかった場合はどうしたらいいですか?",ContractBilling
"MNP予約番号に、有効期限はありますか?",ContractBilling
"MNP予約番号は確認できますか?",ContractBilling
"MNP予約番号発行後に名義変更はできますか?",ContractBilling
"SIMカードの形状は、変更できますか?",ContractBilling
"SIMカードを、再発行・バージョン変更する場合の注意事項を教えてください。",ContractBilling
"SIMカードを紛失した場合、再発行はできますか?",ContractBilling
"SIMカード対応機種の、SIM情報設定方法について教えてください。",ContractBilling
"SIMロック解除ができる。",ContractBilling
"SIMロック解除について教えてください。",ContractBilling
"SIMロック解除の手続きは、どこでできますか?",ContractBilling
"SIMロック解除をした場合、携帯電話に保存されていたデータはどうなりますか?",ContractBilling
"SIMロック解除手数料について教えてください。",ContractBilling
"SIMロック解除機能を搭載しているの端末は、購入時にSIMロック解除はされていますか?",ContractBilling
"オンライン予約について教えてください。",ContractBilling
"ご利用者情報の登録について教えてください。",ContractBilling
"Serviceコーナーについて教えてください。",ContractBilling
"ショップの電話番号や住所などの、確認方法を教えてください。",ContractBilling
"ネットオークションや中古販売店で購入した携帯電話は、利用制限の対象でないことが確認できれば、ネットワーク利用制限がかかることはありませんか?",ContractBilling
"の回線契約がなくても、SIMロック解除できますか?",ContractBilling
"一括請求や一括送付Serviceを利用している場合、携帯電話・PHS番号ポータビリティ(MNP)の予約はできますか?",ContractBilling
"一括請求を組んだまま、解約携帯電話・PHS番号ポータビリティ(MNP)による解約はできますか?",ContractBilling
"一括請求を組んでいます。支払いを個別にする手続きは、どこでできますか?",ContractBilling
"不要になった携帯電話や付属品を回収していますか?",ContractBilling
"他社のSIMフリー端末でのServiceを利用したい場合、SIMカード(カード)を発行できますか?",ContractBilling
"以前利用していた携帯電話と同じ電話番号を、また利用することはできますか?",ContractBilling
"住所変更する場合、運転免許証や住民票の住所が旧住所でも手続きはできますか?",ContractBilling
"住所変更の手続きは、どこでできますか?",ContractBilling
"住所変更をした場合、口座振替の手続きは必要ですか?",ContractBilling
"個人名義で新規契約する場合、何が必要ですか?",ContractBilling
"分割払い(個別信用購入あっせん契約割賦販売契約)で携帯電話を購入する場合、ポイントポイント(期間・用途限定)ポイントは利用できますか?",ContractBilling
"分割払い(個別信用購入あっせん契約割賦販売契約)を利用中でも、機種変更はできますか?",ContractBilling
"利用中断中に、住所変更はできますか?",ContractBilling
"利用中断中に、名義変更の手続きはできますか?",ContractBilling
